	Actual	Top_5
0	078000035261	['078000082166', '049000030730', '049000047844', '078000083163', '078000035261']
1	078000035261	['049000031034', '049000024692', '049000012781', '078000083163', '078000035261']
2	078000035261	['049000004632', '049000012781', '049000024692', '078000083163', '078000035261']
3	078000035261	['078000082401', '858176002270', '078000082166', '858176002133', '078000035261']
4	078000035261	['049000024692', '049000012781', '078000035261', '078000083163', '078000082166']
5	611269991000	['070847012474', '611269001013', '611269818994', '611269716467', '070847811268']
6	611269991000	['012000000171', '012000504051', '611269991000', '611269716467', '611269818994']
7	611269991000	['611269101713', '611269818994', '611269001013', '611269716467', '611269991000']
8	611269991000	['611269101713', '611269001013', '611269716467', '611269332827', '070847811268']
9	611269991000	['611269991000', '012000030680', '611269818994', '611269716467', '611269108026']
10	611269991000	['012000018794', '012000171956', '611269108026', '611269991000', '611269716467']
11	611269991000	['012000171956', '012000504051', '611269001013', '611269818994', '611269716467']
12	858176002058	['818094005791', '818094005777', '858176002171', '818094005746', '858176002058']
13	858176002058	['049000030730', '858176002133', '049000047844', '858176002171', '858176002058']
14	858176002058	['610764863812', '610764022677', '858176002065', '858176002270', '858176002058']
15	858176002058	['858176002171', '818094005791', '818094005746', '858176002133', '858176002058']
16	858176002058	['858176002133', '858176002171', '012000004520', '858176002270', '012000212024']
17	858176002058	['850009942319', '858176002133', '858176002065', '858176002270', '049000047844']
18	858176002058	['858176002171', '818094005777', '858176002133', '818094005746', '858176002058']
19	858176002058	['858176002171', '012000212048', '012000212024', '858176002133', '858176002058']
20	858176002058	['858176002065', '858176002171', '858176002133', '049000047844', '858176002058']
21	858176002058	['049000030730', '858176002133', '858176002171', '049000047844', '858176002058']
22	611269101713	['611269332827', '012000000171', '611269108026', '611269716467', '611269101713']
23	611269101713	['611269101713', '611269001013', '611269716467', '610764022868', '611269818994']
24	786162080004	['858176002058', '850009942319', '858176002065', '858176002171', '786162080004']
25	786162080004	['786162002976', '786162002969', '016571910310', '041244000067', '786162080004']
26	786162080004	['786162002976', '786162002969', '016571910310', '041244000067', '786162080004']
27	786162080004	['611269332827', '611269716467', '611269001013', '611269113570', '786162080004']
